ref_peperiksaan__kod_pusat,,,,,,,,,,,,,,,,,
id,no_sekolah,kod_pusat,id_jenis_calon,nama_pusat,nama_pusat_i18n,jumlah_calon,id_sekolah,id_tahun_peperiksaan,id_bilik_kebal,ids_mata_pelajaran,id_status_pendaftaran,id_status_pendaftaran_calon,id_status_janaan_angka_giliran,id_status_tempoh_pendaftaran,status,created_at,updated_at
22,1,AQ01,11,MAAHAD TAHFIZ AL QURAN WAL QIRAAT ADDIN AIR,معهد تحفيظ القرآن و القراءات الدين اير,13,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
23,1,AQ11,11,SMA AT-TA'ALIM,المدرسة الثانوية التعليم,12,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
24,6,AQ11,13,SMA AT-TA'ALIM,المدرسة الثانوية التعليم,3,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
25,1,AQ12,7,SABK MAAHAD ISLAHIAH ADDINIAH,سبك معاهد اسلاميه الدين,15,1,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",1,2,1,1,1,2021-07-15 06:07:56,2021-07-16 08:02:39
26,6,AQ12,13,SABK MAAHAD ISLAHIAH ADDINIAH,NULL,5,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
27,1,AQ21,10,SEKOLAH RAJA PEREMPUAN TAAYAH,NULL,21,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
28,1,AQ22,7,SABK MAAHAD AL-UMMAH,NULL,21,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
29,6,AQ22,13,SABK MAAHAD AL-UMMAH,NULL,4,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
30,1,AQ24,11,MAAHAD IMTIYAZ,NULL,39,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
31,6,AQ24,13,MAAHAD IMTIYAZ,NULL,20,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
32,1,AQ31,7,SABK MA'AHAD AL-EHYA ASSHARIFF,NULL,13,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
33,6,AQ31,13,SABK MA'AHAD AL-EHYA ASSHARIFF,NULL,2,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
34,1,AQ32,7,SABK AL-FALAH,NULL,36,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
35,6,AQ32,13,SABK AL-FALAH,NULL,3,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
36,1,AQ33,7,SABK SHAMSUL MAARIF AL-WATANIAH,NULL,12,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
37,6,AQ33,13,SABK SHAMSUL MAARIF AL-WATANIAH,NULL,5,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
38,1,AQ41,7,SABK MAAHAD AL-MIZAN,NULL,32,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
39,6,AQ41,13,SABK MAAHAD AL-MIZAN,NULL,1,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
40,1,AQ42,7,SABK MAAHAD AL-YAHYAWIAH,NULL,26,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
41,6,AQ42,13,SABK MAAHAD AL-YAHYAWIAH,NULL,2,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
42,1,AQ43,7,SABK AD-DINIAH AL-ISLAMIAH,NULL,15,0,8,NULL,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
