id,kod_sekolah,nama_sekolah,nama_pengetua,alamat_sekolah,emel_sekolah,no_telefon,no_faks,poskod,id_jenis_sekolah,id_ppd,id_bandar,id_daerah,id_negeri,status
,JFT0001,SMA PARIT RAJA,ENCIK,"POS 2, JLN SEKOLAH ARAB, PARIT RAJA BATU PAHAT",a@gmail.com133,07-4545710,07-4545710,86400,1,48,2,1,1,1
,JFT0001,SMA PARIT RAJA,ENCIK,"POS 2, JLN SEKOLAH ARAB, PARIT RAJA BATU PAHAT",a@gmail.com141,07-4545710,07-4545710,86400,14,48,2,1,1,1
,JFTOOO2,SMA JAWAHIR AL-ULUM,ENCIK,JALAN PARIT KEMANG SENGGARANG,a@gmail.com152,07-4291243,07-4291243,83200,10,48,2,1,1,1
,JFTOOO2,SMA JAWAHIR AL-ULUM,ENCIK,JALAN PARIT KEMANG SENGGARANG,a@gmail.com153,07-4291243,07-4291243,83200,14,48,2,1,1,1
,JFT0004,SMA ATTARBIAH AL ISLAMIAH BATU PAHAT,ENCIK,"NO 31, JALAN LIM YEW LEONG",a@gmail.com154,07-4346475,07-4332712,83000,10,48,2,1,1,1
,JFT0004,SMA ATTARBIAH AL ISLAMIAH BATU PAHAT,ENCIK,"NO 31, JALAN LIM YEW LEONG",a@gmail.com155,07-4346475,07-4332712,83000,14,48,2,1,1,1
,SKJ1726,MAAHAD JOHOR,ENCIK,JALAN GERTAK MERAH,a@gmail.com149,07-2232732,07-2248194,80000,11,45,27,2,1,1
,SKJ1726,MAAHAD JOHOR,ENCIK,JALAN GERTAK MERAH,a@gmail.com150,07-2232732,07-2248194,80000,11,45,27,2,1,1
,SKJ1726,MAAHAD JOHOR,ENCIK,JALAN GERTAK MERAH,a@gmail.com151,07-2232732,07-2248194,80000,14,45,27,2,1,1
,JFT1001,SABK MADRASAH ALATTAS ALARABIAH JOHOR,ENCIK,KM 23 JALAN KOTA TINGGI ,a@gmail.com140,07-8616901,07-8616890,81800,10,45,35,2,1,1
,JFT1001,SABK MADRASAH ALATTAS ALARABIAH JOHOR,ENCIK,KM 23 JALAN KOTA TINGGI ,a@gmail.com146,07-8616901,07-8616890,81800,14,45,35,2,1,1
,JLAJ001,SEKOLAH MENENGAH ISLAM AT TAHFIZ PASIR GUDANG,ENCIK,"LOT PTP 697 JALAN MASJID , TAMAN MAWAR",a@gmail.com144,07-2532908,07-2541368,81700,13,45,38,2,1,1
,JLAJ001,SEKOLAH MENENGAH ISLAM AT TAHFIZ PASIR GUDANG,ENCIK,"LOT PTP 697,JALAN MASJID TAMAN MAWAR",a@gmail.com156,07-2532908,07-2541368,81700,14,45,38,2,1,1
,JFT6002,SEKOLAH MAAHAD PONTIAN,ENCIK,"JALAN PARIT MESJID,",a@gmail.com134,07-6874470,07-6863482,82000,10,46,662,7,1,1
,JFT6001,SMA (ARAB) AN NUR,ENCIK,"JALAN JAAFAR 82200 BENUT, PONTIAN, JOHOR",a@gmail.com135,07-6906144,07-6906144,82200,10,46,662,7,1,1
,JFT6001,SMA (ARAB) AN NUR,ENCIK,"JALAN JAAFAR 82200 BENUT, PONTIAN, JOHOR",a@gmail.com136,07-6906144,07-6906144,82200,14,46,662,7,1,1
,JFT6003,SEKOLAH MENENGAH AGAMA BUGISIAH,ENCIK,SEKOLAH MENENGAH AGAMA BUGISIAH ,a@gmail.com137,07-4241901,07-4241901,82200,10,46,662,7,1,1
,JQ61,SEKOLAH MAAHAD PONTIAN,ENCIK,JALAN PARIT MESJID,a@gmail.com145,07-6874470,07-6863482,82000,14,46,662,7,1,1
,JFT6003,SEKOLAH MENENGAH AGAMA BUGISIAH,ENCIK,"TAMPOK, BENUT",a@gmail.com148,07-4241901,07-4241901,82200,14,46,662,7,1,1
,JFT9002,SEKOLAH MENENGAH AGAMA LUGHATUL QURAN,ENCIK,"KESANG TASEK, SUNGAI MATI,",a@gmail.com132,06-9754833,06-9753384,84400,10,53,133,10,1,1
,JFT9002,SEKOLAH MENENGAH AGAMA LUGHATUL QURAN,ENCIK,"KESANG TASEK, SUNGAI MATI,",a@gmail.com147,06-9754833,06-9753384,84400,14,53,133,10,1,1
,KFT3001,SEK MEN AGAMA AL NAHDZAH,ENCIK,BT 12 BUKIT BESAR KOTA SARANG SEMUT,a@gmail.com163,04-7691055,04-7692341,06800,14,6,145,11,2,1
,KFT4002,SEK MEN AGAMA NURUL ISLAM,ENCIK,AYER HITAM,a@gmail.com168,04-7940686,04-7943568,06150,10,6,145,11,2,1
,KFT2001,SEKOLAH MENENGAH AGAMA DARUSSAADAH,ENCIK,TITI BESI KEPALA BATAS,a@gmail.com169,04-7143661,04-7141064,06200,10,6,145,11,2,1
,KAN2008,MAKTAB MAHMUD POKOK SENA,ENCIK,"MAKTAB MAHMUD POKOK SENA, LANGGAR",a@gmail.com172,04-7870624,04-7876934,06500,10,6,145,11,2,1
,KXX0055,PONDOK MODEN ZAKAT KEDAH,ENCIK,"BLOK A,KOMPLEKS PEMBANGUNAN ASNAF,LEMBAGA ZAKAT NEGERI KEDAH",a@gmail.com180,04-7364799,04-7364798,05150,12,6,145,11,2,1
,KAR0035,MAAHAD DINI SULTAN ABDUL HALIM,ENCIK,LOT 1306 JALAN SUKA MENANTI MUKIM PUMPONG,a@gmail.com186,04-7001071,04-7001614,05150,12,6,145,11,2,1
,KAR0035,MAAHAD DINI SULTAN ABDUL HALIM,ENCIK,"LOT1306, JALAN SUKA MENANTI, MK PUMPONG,",a@gmail.com188,04-7001071,04-7001614,05050,14,6,145,11,2,1
,KAR4000,SMA AS-SIDDIQIAH AL-ISLAMIAH,ENCIK,"MUKIM TEKAI, PADANG KERASAK, NAKA,",a@gmail.com189,04-7852703,04-7852703,06350,14,6,145,11,2,1
,KAR1009,MADRASAH TAKLIMIAH KHAIRIAH,ENCIK,"36,KG. TOK KELING,MUKIM DERGA",a@gmail.com193,04-7416944,04-7416944,05400,12,6,145,11,2,1
,KAR4000,SMA AS-SIDDIQIAH AL-ISLAMIAH,ENCIK,"MUKIM TEKAI, PADANG KERASAK, NAKA,",a@gmail.com196,04-7852703,04-7852703,06350,12,6,145,11,2,1
,KAN2005,MAKTAB MAHMUD,ENCIK,PERSIARAN SULTAN ABDUL HAMID,a@gmail.com170,04-7726482,04-7721326,05050,11,6,145,11,2,1
,KFT4001,SEKOLAH MENENGAH AGAMA HIDAYAH ISLAMIAH,ENCIK,"BT. 10, ALOR BIAK, SG. KOROK CHANGLIH",a@gmail.com179,04-7945961,04-7942743,06150,10,9,9,12,2,1
,KAR0015,MAKTAB PENGAJIAN ISLAM KEDAH,ENCIK,"BT.2, JALAN CHANGLON,KODIANG,KEDAH DARUL AMAN",a@gmail.com185,04-9252211,04-9255233,06100,12,9,222,12,2,1
,KAR4001,SEK MEN AGAMA NAHDHAH HASANAH,ENCIK,MELELE,a@gmail.com166,04-9251926,04-9251926,06100,12,9,224,12,2,1
,KAR4001,SEK MEN AGAMA NAHDHAH HASANAH,ENCIK,MELELE,a@gmail.com167,04-9251926,04-9251926,06100,14,9,224,12,2,1
,KFT7001,SEKOLAH MENENGAH AGAMA DARIL IKTISAM,ENCIK,BATU 28 1/4 JALAN PADANG SANAI 06300 KUALA NERANG KEDAH,a@gmail.com161,04-7864875,04-7864157,06300,10,5,269,13,2,1
,KAR7002,SMA AL-KHAIRIAH,ENCIK,JALAN AMPANGAN PEDU,a@gmail.com171,04-7866721,04-7869582,06300,12,5,269,13,2,1
,KAR4100,KOLEJ ISLAM DARUL ULUM,ENCIK,KM 23 JALAN KUALA NERANG,a@gmail.com187,04-7825754,04-7824070,06300,12,5,269,13,2,1
,KFT3002,SMA SUNGAI PETANI,ENCIK,BEDONG,a@gmail.com164,04-4582094,04-4500367,08100,10,3,196,15,2,1
,KAR0030,SEKOLAH AGAMA DARIS,ENCIK,"KG.SG. JAGUNG, SG. PETANI",a@gmail.com165,04-4221606,04-4581715,08000,12,3,205,15,2,1
,KXT3004,SEKOLAH MENENGAH AKADEMI  ISLAM DARUL AMAN,ENCIK,"KG. SINTOK BUGIS, KOTA KUALA MUDA.",a@gmail.com194,04-4374109,04-4376308,08500,10,3,205,15,2,1
,KXX0001,MADRASAH ZUBAIDIYAH,ENCIK,BALAI ISLAM MERBOK,a@gmail.com190,04-4572486,04-4572486,08400,14,3,211,15,2,1
,KXX0001,MADRASAH ZUBAIDIYAH,ENCIK,BALAI ISLAM MERBOK ,a@gmail.com200,04-4572486,04-4572486,08400,12,3,211,15,2,1
,KFT9002,SEKOLAH MENENGAH AGAMA FAUZI YAN,ENCIK,SEKOLAH MENENGAH AGAMA FAUZI YAN KECHIL,a@gmail.com160,04-4475491,04-4655486,06900,10,3,299,16,2,1
,KFT3001,SMA NAHDZAH (SABK),ENCIK,BT 12 BUKIT BESAR ,a@gmail.com162,04-7691055,04-7692341,06800,10,3,299,16,2,1
